"year","player_name","tmID","GP","points_per_game","rebounds_per_game","assists_per_game","tall_data_efficiency_score","logistic_probability","random_forest_probability"
1993,"Shaquille O'Neal","ORL",81,29.3456790123457,13.2345679012346,2.40740740740741,69.4462155185808,0.970360186732547,NA
1954,"Neil Johnston","PHW",72,22.6527777777778,15.0694444444444,2.98611111111111,68.8738140398004,0.956422540336121,NA
2010,"LeBron James","MIA",79,26.7215189873418,7.46835443037975,7.0126582278481,69.808297034191,0.949055862654646,NA
1988,"Earvin Johnson","LAL",77,22.4675324675325,7.88311688311688,12.8311688311688,70.804762970896,0.945136374074327,NA
1952,"Neil Johnston","PHW",70,22.3428571428571,13.9428571428571,2.81428571428571,71.2280017676998,0.94231235040593,NA
1971,"Nate Thurmond","GSW",78,21.448717948718,16.051282051282,2.94871794871795,65.2341565088276,0.934313775831943,NA
1972,"Pete Maravich","ATL",79,26.1139240506329,4.37974683544304,6.91139240506329,66.6832918496428,0.920592747950765,NA
1973,"Pete Maravich","ATL",76,27.7236842105263,4.92105263157895,5.21052631578947,66.5407326070114,0.915993377165211,NA
1956,"Neil Johnston","PHW",69,22.8260869565217,12.3913043478261,2.94202898550725,67.242725401554,0.907756976344574,NA
1961,"Bill Bridges","KCS",79,21.4810126582278,13.4050632911392,2.29113924050633,63.3106061439205,0.901914568065886,NA
1955,"Neil Johnston","PHW",70,22.1,12.4571428571429,3.21428571428571,66.9633561755475,0.894289572440493,NA
1998,"Allen Iverson","PHI",48,26.75,4.91666666666667,4.64583333333333,65.0525820162126,0.843100847073483,NA
2009,"Kobe Bryant","LAL",73,26.986301369863,5.35616438356164,5,64.0412114460028,0.823014926804959,NA
1996,"Shaquille O'Neal","LAL",51,26.1960784313725,12.5490196078431,3.11764705882353,65.9335796008387,0.815487637871784,NA
1998,"Karl Malone","UTA",49,23.7551020408163,9.44897959183673,4.10204081632653,66.5424380804036,0.812230287953475,NA
2010,"Dwyane Wade","MIA",76,25.5394736842105,6.38157894736842,4.55263157894737,65.212185777578,0.812006896870079,NA
1988,"Kevin Johnson","PHO",81,20.3703703703704,4.19753086419753,12.2345679012346,66.8275991431509,0.805587560527723,NA
1984,"Dominique Wilkins","ATL",81,27.3703703703704,6.87654320987654,2.46913580246914,61.052110357208,0.799824911250959,NA
1990,"Kevin Johnson","PHO",77,22.2077922077922,3.51948051948052,10.1428571428571,64.7514196630996,0.796979069482208,NA
1974,"Billy Cunningham","PHI",80,19.5375,9.075,5.525,65.1926256658507,0.794272622861098,NA
1969,"Wes Unseld","BAL",82,16.1585365853659,16.7073170731707,3.54878048780488,64.758869633898,0.791912760357351,NA
1975,"Bob Lanier","DET",64,21.34375,11.65625,3.390625,65.4699221146814,0.770992422858837,NA
1969,"Dave Bing","DET",70,22.9142857142857,4.27142857142857,5.97142857142857,63.7146751605154,0.769393661750059,NA
1962,"Fred LaCour","OAO",25,19.76,8.44,3.68,61.5342003998918,0.763007872384496,NA
